timestamp,can_id,dlc,data_hex,data_bytes
1753115106.448970372,155,8,07 97 CC 54 5F D8 00 6E,07 97 CC 54 5F D8 00 6E
1753115106.500026329,155,8,07 97 CC 54 5F D8 00 6E,07 97 CC 54 5F D8 00 6E
1753115106.551011625,155,8,07 97 CC 54 5F D8 00 6E,07 97 CC 54 5F D8 00 6E
1753115106.602082120,155,8,07 97 CC 54 5F D8 00 6E,07 97 CC 54 5F D8 00 6E
1753115106.653074292,155,8,07 97 CC 54 5F D8 00 6E,07 97 CC 54 5F D8 00 6E
1753115106.704079867,155,8,07 97 CC 54 5F D8 00 6E,07 97 CC 54 5F D8 00 6E
1753115106.755094076,155,8,07 97 CC 54 5F D8 00 6E,07 97 CC 54 5F D8 00 6E
1753115106.806136119,629,3,00 00 00,00 00 00
1753115106.857075225,155,8,07 97 CC 54 5F D8 00 6E,07 97 CC 54 5F D8 00 6E
1753115106.908049870,155,8,07 97 CC 54 5F D8 00 6E,07 97 CC 54 5F D8 00 6E
1753115106.959091395,155,8,07 97 CC 54 5F D8 00 6E,07 97 CC 54 5F D8 00 6E
1753115107.009931959,155,8,07 97 CC 54 5F D8 00 6E,07 97 CC 54 5F D8 00 6E
1753115107.060877496,155,8,07 97 CC 54 5F D8 00 6E,07 97 CC 54 5F D8 00 6E
1753115107.112090720,155,8,07 97 CC 54 5F D8 00 6E,07 97 CC 54 5F D8 00 6E
1753115107.163060289,155,8,07 97 CC 54 5F D8 00 6E,07 97 CC 54 5F D8 00 6E
1753115107.214300219,155,8,07 97 CC 54 5F D8 00 6E,07 97 CC 54 5F D8 00 6E
1753115107.265056390,155,8,07 97 CC 54 5F D8 00 6E,07 97 CC 54 5F D8 00 6E
1753115107.316079784,5D7,7,00 00 00 55 79 40 00,00 00 00 55 79 40 00
1753115107.367042477,155,8,07 97 CC 54 5F D8 00 6E,07 97 CC 54 5F D8 00 6E
1753115107.418087463,5D7,7,00 00 00 55 79 40 00,00 00 00 55 79 40 00
1753115107.469132053,155,8,07 97 CC 54 5F D8 00 6E,07 97 CC 54 5F D8 00 6E
1753115107.520075255,599,8,00 00 0D AD FF 19 00 00,00 00 0D AD FF 19 00 00
1753115107.571064601,155,8,07 97 CC 54 5F D8 00 6E,07 97 CC 54 5F D8 00 6E
1753115107.622005969,599,8,00 00 0D AD FF 19 00 00,00 00 0D AD FF 19 00 00
1753115107.673106706,155,8,07 97 CC 54 5F D8 00 6E,07 97 CC 54 5F D8 00 6E
1753115107.724346672,155,8,07 97 CC 54 5F D8 00 6E,07 97 CC 54 5F D8 00 6E
1753115107.775060993,155,8,07 97 CC 54 5F D8 00 6E,07 97 CC 54 5F D8 00 6E
1753115107.826146417,436,6,00 00 01 25 00 00,00 00 01 25 00 00
